epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.058614,0.886547,1.318452,3.315445,0.250000,0.750000,0.132461,32.296131,4.862786,4.862786,32.067745,1.640301,1.640301
2,0.044489,0.268434,0.698647,3.852075,0.250000,0.750000,0.168293,32.418629,6.103007,1.609812,32.092613,2.168811,0.937085
3,0.074684,0.005975,0.764147,3.908733,0.250000,0.750000,0.204202,32.452934,6.614025,0.894844,32.104240,2.488564,0.695115
4,0.027144,0.003264,0.157979,4.024559,0.250000,0.750000,0.240279,32.478775,6.911654,0.952670,32.112358,2.760085,0.711252
5,0.045757,0.002349,0.200808,4.028932,0.250000,0.750000,0.275882,32.541538,7.177967,0.949852,32.137653,3.047262,0.785638
6,0.124513,0.002455,0.166175,4.071894,0.250000,0.750000,0.311297,32.630306,7.421820,0.911324,32.173939,3.335696,0.731844
7,-0.020151,0.004856,0.359953,4.023031,0.250000,0.750000,0.346542,32.720242,7.563490,0.894479,32.218777,3.586928,0.770020
8,0.035515,0.013129,0.366421,3.987492,0.250000,0.750000,0.381509,32.850529,7.670847,0.838487,32.275337,3.847241,0.797714
9,-0.008224,0.006276,0.340993,3.953654,0.250000,0.750000,0.415617,33.012753,7.826921,0.817832,32.339439,4.119234,0.753629
10,-0.010569,0.012048,0.228738,3.979383,0.250000,0.750000,0.449051,33.148628,7.996234,0.922413,32.394749,4.343797,0.683400
11,0.018361,0.010768,0.630604,3.954931,0.250000,0.750000,0.482322,33.295181,8.187496,0.991284,32.448544,4.558848,0.686524
12,0.006598,0.009916,0.274178,3.911675,0.250000,0.750000,0.515692,33.451843,8.423122,1.041546,32.504807,4.771432,0.702156
13,0.022907,0.008056,0.572092,3.889117,0.250000,0.750000,0.547786,33.526218,8.615993,1.147260,32.543983,4.960796,0.687685
14,0.031128,0.030629,0.293276,3.897783,0.250000,0.750000,0.580643,33.552582,8.791203,0.990164,32.571735,5.144866,0.722252
15,0.008402,0.021036,0.239319,3.878712,0.250000,0.750000,0.613889,33.544071,8.911800,0.785152,32.594578,5.318757,0.722801
16,-0.063446,0.041030,0.354227,3.866025,0.250000,0.750000,0.647094,33.512810,8.998154,0.832267,32.613228,5.492068,0.736953
17,0.002026,0.013928,0.337632,3.866750,0.250000,0.750000,0.679780,33.476006,9.088323,0.990264,32.630768,5.664502,0.740370
18,0.004497,0.021948,0.258011,3.816916,0.250000,0.750000,0.712028,33.439873,9.194431,0.966143,32.647408,5.822235,0.749299
19,-0.053052,0.023435,0.249334,3.778581,0.250000,0.750000,0.743922,33.401302,9.288564,1.028538,32.666641,5.986286,0.764356
20,0.021916,0.021682,0.295961,3.837118,0.250000,0.750000,0.774932,33.360138,9.359911,0.767754,32.686825,6.150951,0.777349
21,-0.044718,0.021165,0.363695,3.793991,0.250000,0.750000,0.804669,33.315929,9.416613,0.689344,32.710098,6.318824,0.773385
22,-0.029471,0.021051,0.288195,3.815504,0.250000,0.750000,0.832923,33.261200,9.455525,0.549431,32.732178,6.485110,0.766404
23,-0.016840,0.032135,0.268544,3.796216,0.250000,0.750000,0.860652,33.198467,9.479154,0.681676,32.755177,6.653655,0.819438
24,-0.028997,0.012675,0.336533,3.873477,0.250000,0.750000,0.887889,33.140362,9.522783,0.794742,32.780750,6.816899,0.812944
25,-0.000432,0.011909,0.256428,3.962694,0.250000,0.750000,0.914666,33.085381,9.570872,0.765258,32.808300,6.984581,0.783557
26,0.040456,0.011075,0.420870,4.009589,0.250000,0.750000,0.940287,33.026028,9.599982,0.712026,32.834599,7.146785,0.834509
27,0.043777,0.010498,0.315820,4.068521,0.250000,0.750000,0.964611,32.965015,9.630662,0.658395,32.862083,7.314658,0.826893
28,-0.052575,0.008625,0.427914,4.272730,0.250000,0.750000,0.988239,32.898907,9.652519,0.606994,32.887024,7.463900,0.784544
29,0.004325,0.032192,0.473974,4.356459,0.250000,0.750000,1.010953,32.839882,9.685310,0.619244,32.912781,7.615489,0.810460
30,0.001325,0.023935,0.466930,4.425010,0.250000,0.750000,1.032687,32.772808,9.724338,0.691784,32.939003,7.760601,0.811613
31,0.001982,0.006248,0.335727,4.706021,0.250000,0.750000,1.054453,32.708645,9.757411,0.642516,32.961288,7.900251,0.814696
32,0.029359,0.006361,0.381717,4.814787,0.250000,0.750000,1.075054,32.645237,9.798519,0.659175,32.986366,8.039948,0.820069
33,0.050100,0.010199,0.273832,5.015651,0.250000,0.750000,1.094989,32.575920,9.820042,0.686387,33.010460,8.180291,0.799360
34,-0.059202,0.008620,0.379475,5.247197,0.250000,0.750000,1.114105,32.510853,9.862564,0.742984,33.031368,8.306433,0.784959
35,0.047260,0.007740,0.331911,5.505508,0.250000,0.750000,1.132924,32.457958,9.948408,1.076846,33.050125,8.424482,0.763497
36,-0.010881,0.010306,0.295506,5.660191,0.250000,0.750000,1.150819,32.424152,10.098894,1.148755,33.068810,8.543041,0.758210
37,0.034134,0.009424,0.298385,5.964846,0.250000,0.750000,1.168049,32.384533,10.218246,0.898250,33.085102,8.652411,0.739708
38,0.027459,0.003819,0.285590,6.122959,0.250000,0.750000,1.184721,32.345535,10.309540,0.795520,33.102005,8.757752,0.728439
39,0.002372,0.004126,0.303154,6.295276,0.250000,0.750000,1.200524,32.302868,10.394303,0.800409,33.117756,8.863919,0.746714
40,0.011155,0.003525,0.294840,6.590828,0.250000,0.750000,1.215796,32.254086,10.462954,0.735351,33.132835,8.968391,0.722203
41,0.040331,0.004911,0.314270,7.006064,0.250000,0.750000,1.230680,32.211655,10.521768,0.890350,33.145126,9.064418,0.699305
42,0.020139,0.006053,0.247968,7.296514,0.250000,0.750000,1.244803,32.168053,10.583737,0.743056,33.159325,9.156335,0.696818
43,-0.000537,0.003661,0.256755,7.564113,0.250000,0.750000,1.258604,32.121819,10.624837,0.598876,33.169579,9.241632,0.663532
44,-0.043117,0.007540,0.277724,8.086529,0.250000,0.750000,1.271901,32.071869,10.653252,0.604518,33.177658,9.318572,0.649972
45,0.032528,0.010656,0.266188,8.163951,0.250000,0.750000,1.284718,32.009857,10.668450,0.562723,33.186024,9.399184,0.681460
46,-0.014280,0.032692,0.205904,8.744534,0.250000,0.750000,1.297299,31.945181,10.679504,0.443365,33.196381,9.481775,0.657979
47,0.018741,0.008440,0.277462,8.984725,0.250000,0.750000,1.309012,31.887566,10.690471,0.464827,33.204899,9.560900,0.662399
48,0.019700,0.003069,0.230244,9.347330,0.250000,0.750000,1.320521,31.837908,10.708443,0.499080,33.212208,9.634534,0.646949
49,0.025694,0.004776,0.241405,9.583992,0.250000,0.750000,1.331637,31.781391,10.725036,0.369838,33.220257,9.712674,0.669658
50,0.000716,0.001985,0.297724,10.000658,0.250000,0.750000,1.341932,31.719835,10.735749,0.396625,33.228203,9.788346,0.680106
