Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,5.0000
Entertainment,0.0270,0.0513,0.0354,39.0000
Food,0.0000,0.0000,0.0000,10.0000
Nightlife,0.0000,0.0000,0.0000,2.0000
Outdoors,0.0000,0.0000,0.0000,4.0000
Shopping,0.0000,0.0000,0.0000,15.0000
Travel,0.5035,0.5496,0.5255,131.0000
None,0.3548,0.3235,0.3385,34.0000
Unknown-8,0.3125,0.3333,0.3226,15.0000
Unknown-9,0.0000,0.0000,0.0000,1.0000
Unknown-10,1.0000,0.2000,0.3333,5.0000
Unknown-11,0.4068,0.4615,0.4324,52.0000
Unknown-12,0.3882,0.3548,0.3708,93.0000
Unknown-13,0.0000,0.0000,0.0000,2.0000
Unknown-14,0.0000,0.0000,0.0000,0.0000
Unknown-15,0.0000,0.0000,0.0000,1.0000
Unknown-16,0.2444,0.3143,0.2750,35.0000
Unknown-17,0.0000,0.0000,0.0000,4.0000
Unknown-18,0.4242,0.4330,0.4286,97.0000
Unknown-19,0.5172,0.3750,0.4348,40.0000
Unknown-20,0.7682,0.6211,0.6868,475.0000
Unknown-21,0.3900,0.4062,0.3980,96.0000
Unknown-22,0.2444,0.4583,0.3188,24.0000
Unknown-23,0.3281,0.4038,0.3621,52.0000
Unknown-24,0.3333,1.0000,0.5000,1.0000
Unknown-25,0.2857,0.3333,0.3077,12.0000
Unknown-26,0.0000,0.0000,0.0000,2.0000
Unknown-27,0.1250,0.2000,0.1538,5.0000
Unknown-28,0.0000,0.0000,0.0000,1.0000
Unknown-29,0.3571,0.7143,0.4762,7.0000
Unknown-31,0.7500,0.5000,0.6000,6.0000
Unknown-32,0.0000,0.0000,0.0000,0.0000
Unknown-33,0.4000,0.3030,0.3448,33.0000
Unknown-34,0.0000,0.0000,0.0000,4.0000
Unknown-35,0.3051,0.2609,0.2812,69.0000
Unknown-36,0.5349,0.5610,0.5476,41.0000
Unknown-37,0.0000,0.0000,0.0000,13.0000
Unknown-38,0.5000,0.5000,0.5000,4.0000
Unknown-39,0.3333,0.3333,0.3333,15.0000
Unknown-40,0.5517,0.8421,0.6667,19.0000
Unknown-42,0.0000,0.0000,0.0000,3.0000
Unknown-43,0.1250,0.1429,0.1333,7.0000
Unknown-44,0.0000,0.0000,0.0000,4.0000
Unknown-45,0.2727,0.2143,0.2400,14.0000
Unknown-47,1.0000,0.3333,0.5000,3.0000
Unknown-48,0.3571,0.4255,0.3883,47.0000
Unknown-49,0.1633,0.1818,0.1720,44.0000
Unknown-50,0.5364,0.6705,0.5960,88.0000
Unknown-51,0.3333,1.0000,0.5000,1.0000
Unknown-53,0.0000,0.0000,0.0000,3.0000
Unknown-54,0.0000,0.0000,0.0000,0.0000
Unknown-55,0.0000,0.0000,0.0000,2.0000
Unknown-56,0.4167,0.2381,0.3030,21.0000
Unknown-57,0.0000,0.0000,0.0000,36.0000
Unknown-58,0.3750,0.3333,0.3529,18.0000
Unknown-59,0.6316,0.6000,0.6154,20.0000
Unknown-60,0.5714,0.4000,0.4706,10.0000
Unknown-61,0.4348,0.7143,0.5405,14.0000
Unknown-62,0.1538,0.2000,0.1739,10.0000
Unknown-63,0.3333,0.8000,0.4706,5.0000
Unknown-64,0.0000,0.0000,0.0000,2.0000
Unknown-65,0.0600,1.0000,0.1132,3.0000
Unknown-66,0.5000,0.5000,0.5000,4.0000
Unknown-67,0.0000,0.0000,0.0000,2.0000
Unknown-68,0.0000,0.0000,0.0000,1.0000
Unknown-69,0.0000,0.0000,0.0000,7.0000
Unknown-70,0.0000,0.0000,0.0000,1.0000
Unknown-71,0.0000,0.0000,0.0000,0.0000
Unknown-73,0.1111,0.1429,0.1250,7.0000
Unknown-74,0.0000,0.0000,0.0000,4.0000
Unknown-75,0.0000,0.0000,0.0000,5.0000
Unknown-77,0.0000,0.0000,0.0000,0.0000
Unknown-78,0.0000,0.0000,0.0000,3.0000
Unknown-79,0.3500,0.3333,0.3415,21.0000
Unknown-80,0.0000,0.0000,0.0000,2.0000
Unknown-81,0.0000,0.0000,0.0000,8.0000
Unknown-82,0.5000,0.3684,0.4242,19.0000
Unknown-83,0.6000,0.2727,0.3750,22.0000
Unknown-84,0.0526,0.0556,0.0541,18.0000
Unknown-85,0.4167,0.3125,0.3571,16.0000
Unknown-86,0.3636,0.3333,0.3478,24.0000
Unknown-87,0.2353,0.1818,0.2051,22.0000
Unknown-88,0.0000,0.0000,0.0000,2.0000
Unknown-89,0.6053,0.5610,0.5823,41.0000
Unknown-90,0.3158,0.2727,0.2927,22.0000
Unknown-91,0.0000,0.0000,0.0000,7.0000
Unknown-92,0.0000,0.0000,0.0000,4.0000
Unknown-93,0.1538,0.1667,0.1600,12.0000
Unknown-94,0.0000,0.0000,0.0000,2.0000
Unknown-96,0.0000,0.0000,0.0000,2.0000
Unknown-97,0.1818,0.2000,0.1905,10.0000
Unknown-98,0.2000,0.1818,0.1905,11.0000
Unknown-99,0.1250,0.1429,0.1333,7.0000
Unknown-100,0.6667,0.5714,0.6154,14.0000
Unknown-101,0.3500,0.4242,0.3836,33.0000
Unknown-103,0.1111,0.2000,0.1429,5.0000
Unknown-104,0.0000,0.0000,0.0000,1.0000
Unknown-105,0.3368,0.4051,0.3678,79.0000
Unknown-107,0.0000,0.0000,0.0000,6.0000
Unknown-108,0.0000,0.0000,0.0000,6.0000
Unknown-110,0.0000,0.0000,0.0000,4.0000
Unknown-111,0.0000,0.0000,0.0000,4.0000
Unknown-112,0.2500,0.2000,0.2222,5.0000
Unknown-113,0.0000,0.0000,0.0000,2.0000
Unknown-114,0.2414,0.2593,0.2500,27.0000
Unknown-115,0.0000,0.0000,0.0000,1.0000
Unknown-117,0.5000,0.3846,0.4348,26.0000
Unknown-118,0.2000,0.2222,0.2105,9.0000
Unknown-119,0.0000,0.0000,0.0000,2.0000
