epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.008079,0.956318,1.394513,4.381765,0.193353,32.424221,6.690838,6.690838,32.124901,3.159907,3.159907
2,-0.191485,0.134906,0.244303,5.404701,0.285122,32.801136,9.511960,6.876405,32.235081,4.603777,2.770063
3,0.154270,0.054902,0.216849,5.755703,0.376938,32.941376,10.992892,5.486647,32.366272,5.752151,2.660545
4,-0.014336,0.329553,0.301965,5.747844,0.463669,33.265213,12.765224,5.721998,32.503738,6.708469,2.396306
5,-0.028296,0.011012,0.756756,5.695729,0.555171,33.189541,13.174100,2.731154,32.607216,7.393941,2.076471
6,-0.001281,0.001475,0.159453,5.569060,0.647726,32.916321,13.189914,1.188265,32.638889,7.920154,1.922708
7,-0.056254,0.190349,0.203983,5.307414,0.739174,32.624134,13.132803,0.534265,32.671616,8.397957,1.860464
8,0.101317,0.009754,0.149895,5.068577,0.828028,32.612801,13.709934,3.717299,32.701756,8.800052,1.711417
9,0.073228,0.022103,0.182988,4.830997,0.914570,32.456154,13.955398,2.979213,32.734745,9.163509,1.714829
10,0.384102,0.006413,0.326970,4.595950,0.999899,32.251682,14.050360,1.377044,32.781025,9.535094,1.674351
11,0.109744,0.197272,0.289111,4.365512,1.082685,32.111889,14.309004,2.377740,32.815937,9.889376,1.775840
12,0.109809,0.051618,0.237711,4.167216,1.163169,32.042370,14.789789,3.626637,32.858177,10.215629,1.665862
13,0.015418,0.156957,0.180773,3.978933,1.239634,32.782890,16.822138,7.265713,32.916378,10.566101,1.872584
14,0.062149,0.481525,0.231777,3.837886,1.314933,33.217789,17.887245,5.391557,32.964191,10.847216,1.661720
15,-0.114621,0.014364,0.187014,3.778751,1.389558,33.056488,17.991282,2.186863,32.987133,11.095511,1.642993
16,-0.028935,0.007898,0.159414,3.709936,1.462234,32.816387,17.921402,0.327971,32.999512,11.327421,1.534501
17,0.078928,0.021663,0.130776,3.657255,1.526577,32.582127,17.847553,0.322340,33.009846,11.536176,1.464289
18,-0.095450,0.007434,0.155071,3.647227,1.580342,32.360924,17.785372,0.301320,33.016052,11.717461,1.385530
19,0.012856,0.033194,0.139237,3.636860,1.621757,32.153641,17.738237,0.474013,33.010220,11.858659,1.234445
20,-0.028904,0.010336,0.113489,3.617735,1.653988,31.954460,17.688118,0.343182,33.009193,12.014350,1.286086
21,0.125132,0.005588,0.145883,3.593713,1.681230,31.766169,17.640905,0.335224,33.013004,12.168356,1.305994
22,-0.023780,0.003351,0.122884,3.611634,1.705007,31.584558,17.595751,0.201080,33.003887,12.280511,1.085234
23,0.058217,0.007305,0.147579,3.626298,1.725160,31.418293,17.583639,0.953716,32.998199,12.393226,1.152042
24,0.044802,0.010639,0.127361,3.615026,1.741561,31.272865,17.564497,0.788275,33.000908,12.516547,1.141379
25,0.047696,0.026712,0.119895,3.668493,1.755497,31.173367,17.592182,1.684897,32.988686,12.598612,0.952269
26,-0.021963,0.138423,0.144632,3.657966,1.767678,31.195547,17.922592,3.557773,32.983814,12.678310,0.938247
27,0.217791,0.115313,0.222794,3.689571,1.778046,31.070906,17.936314,0.834082,32.975872,12.749309,0.881562
28,0.112779,0.020330,0.125424,3.728661,1.787773,30.950682,17.907696,0.331079,32.968018,12.814436,0.810575
29,0.054871,0.067319,0.123175,3.739174,1.796015,30.836023,17.882215,0.187928,32.951759,12.863806,0.717259
30,-0.040796,0.005532,0.128564,3.783966,1.803281,30.733761,17.858040,0.262156,32.939072,12.909403,0.678325
31,-0.007916,0.014278,0.116139,3.802193,1.810322,30.637226,17.838272,0.133742,32.926556,12.946737,0.660241
32,0.026894,0.003119,0.109487,3.831129,1.815478,30.553375,17.824438,0.256686,32.911018,12.978247,0.575215
33,0.021014,0.003634,0.097974,3.865601,1.820433,30.474482,17.808575,0.085237,32.898434,13.005198,0.530510
34,-0.025813,0.002225,0.186183,3.860923,1.824708,30.403961,17.794399,0.077439,32.887547,13.029057,0.510743
35,-0.170144,0.006772,0.120416,3.898137,1.828745,30.341270,17.781473,0.090152,32.875847,13.051829,0.444190
36,-0.096587,0.003388,0.116211,3.939200,1.832378,30.286133,17.771065,0.059509,32.864067,13.064167,0.389491
37,0.072380,0.001519,0.129433,3.956804,1.835217,30.239033,17.762531,0.075082,32.852818,13.073627,0.351980
38,0.002351,0.003612,0.110119,3.964413,1.837665,30.196726,17.753794,0.064167,32.844540,13.084455,0.308982
39,0.003330,0.052063,0.113437,3.984576,1.839543,30.160883,17.747280,0.049958,32.835415,13.091114,0.269866
40,0.004184,0.002671,0.117705,3.994099,1.841582,30.130991,17.741642,0.032711,32.829639,13.097650,0.272766
41,0.063434,0.005183,0.107429,4.020099,1.842905,30.106478,17.737041,0.029413,32.823467,13.102469,0.186702
42,-0.115984,0.003726,0.139806,4.026151,1.844002,30.086739,17.733408,0.024317,32.818096,13.105978,0.164450
43,0.009764,0.001851,0.132487,4.022950,1.844828,30.071245,17.730618,0.022989,32.814369,13.108448,0.125078
44,-0.011884,0.002832,0.103359,4.047900,1.845518,30.059540,17.728540,0.012351,32.811222,13.110432,0.096827
45,-0.001086,0.001263,0.121752,4.071264,1.846081,30.051159,17.727133,0.010131,32.809181,13.112212,0.071039
46,-0.005145,0.004157,0.108810,4.073510,1.846360,30.045521,17.726160,0.010189,32.807644,13.113148,0.049328
47,-0.005131,0.004438,0.145017,4.052674,1.846562,30.042057,17.725492,0.004766,32.806599,13.113388,0.032197
48,-0.022397,0.001385,0.121760,4.080973,1.846657,30.040257,17.725166,0.001975,32.806087,13.113681,0.017264
49,0.007354,0.003607,0.134299,4.068359,1.846695,30.039595,17.725039,0.000877,32.805889,13.113809,0.006832
50,0.048343,0.003261,0.121298,4.070485,1.846700,30.039488,17.725019,0.000151,32.805859,13.113824,0.001231
