Category,precision,recall,f1-score,support
Community,41.10 ± 14.18,45.19 ± 16.44,43.02 ± 15.24,2760.00 ± 1397.50
Entertainment,25.43 ± 24.79,26.71 ± 24.81,25.93 ± 24.63,4160.00 ± 1502.66
Food,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,420.00 ± 605.81
Nightlife,25.19 ± 17.52,34.26 ± 20.82,28.58 ± 18.34,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,36.10 ± 24.98,29.88 ± 27.35,31.66 ± 25.78,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,12.50 ± 12.50,24.00 ± 25.10,16.41 ± 16.68,280.00 ± 130.38
Unknown-8,54.26 ± 5.59,54.35 ± 11.28,53.81 ± 7.24,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,6.25 ± 7.22,30.00 ± 47.61,9.40 ± 11.21,250.00 ± 191.49
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,25.00 ± 25.00,34.09 ± 41.47,27.86 ± 29.40,400.00 ± 418.33
Unknown-13,10.67 ± 15.35,8.33 ± 11.79,8.89 ± 12.17,340.00 ± 194.94
Unknown-14,9.52 ± 9.06,15.33 ± 16.60,11.05 ± 10.24,640.00 ± 270.19
Unknown-15,22.41 ± 20.68,27.02 ± 25.04,24.47 ± 22.59,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,12.50 ± 25.00,5.00 ± 10.00,7.14 ± 14.29,275.00 ± 263.00
Unknown-18,55.71 ± 8.86,54.02 ± 5.09,54.80 ± 6.90,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,52.22 ± 29.78,57.41 ± 32.47,54.54 ± 30.77,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,52.15 ± 21.63,46.79 ± 15.84,49.05 ± 18.68,2820.00 ± 2558.71
Unknown-26,63.64 ± 24.34,77.86 ± 26.12,67.52 ± 19.56,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 734.85
Unknown-28,53.96 ± 49.26,54.97 ± 50.18,54.46 ± 49.72,708180.00 ± 15898.80
Unknown-29,2.50 ± 5.59,20.00 ± 44.72,4.44 ± 9.94,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-31,4.69 ± 9.38,12.50 ± 25.00,6.82 ± 13.64,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
Unknown-33,14.84 ± 9.80,29.33 ± 18.17,19.05 ± 11.51,400.00 ± 339.12
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 346.41
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-36,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-37,55.77 ± 13.03,55.29 ± 8.28,55.37 ± 10.30,10660.00 ± 5767.41
Unknown-38,2.22 ± 4.97,10.00 ± 22.36,3.64 ± 8.13,140.00 ± 54.77
Unknown-39,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 109.54
Unknown-40,33.71 ± 19.34,24.97 ± 16.31,28.22 ± 17.02,3680.00 ± 1331.16
Unknown-41,51.12 ± 16.13,48.42 ± 18.39,49.53 ± 17.30,9600.00 ± 3506.42
Unknown-42,52.36 ± 29.48,34.56 ± 19.60,41.49 ± 23.24,21420.00 ± 2610.94
Unknown-43,17.68 ± 11.40,15.76 ± 9.95,16.66 ± 10.62,3220.00 ± 1213.26
Unknown-44,47.65 ± 27.08,46.68 ± 26.79,47.13 ± 26.89,29920.00 ± 7232.36
Unknown-45,45.40 ± 26.23,31.14 ± 18.25,36.93 ± 21.50,18960.00 ± 1693.52
Unknown-46,20.61 ± 23.33,26.11 ± 26.47,20.04 ± 20.62,800.00 ± 1097.72
Unknown-47,58.38 ± 7.46,59.55 ± 10.90,58.73 ± 8.52,7380.00 ± 1706.46
Unknown-48,38.79 ± 9.51,40.20 ± 9.31,39.20 ± 8.91,9880.00 ± 2928.65
Unknown-49,49.49 ± 27.92,50.83 ± 28.60,50.15 ± 28.24,14200.00 ± 2100.00
Unknown-50,33.83 ± 33.30,32.00 ± 29.50,32.62 ± 30.83,1120.00 ± 901.11
Unknown-51,45.27 ± 20.15,51.02 ± 15.98,47.72 ± 18.51,1080.00 ± 432.43
Unknown-52,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,120.00 ± 130.38
Unknown-53,29.54 ± 17.50,29.09 ± 17.43,29.28 ± 17.40,3160.00 ± 973.65
Unknown-54,60.25 ± 33.72,63.82 ± 35.78,61.97 ± 34.71,58180.00 ± 5199.23
Unknown-55,35.68 ± 20.72,39.78 ± 23.04,37.15 ± 20.88,4340.00 ± 829.46
Unknown-56,28.57 ± 26.24,33.33 ± 40.82,28.83 ± 28.70,660.00 ± 826.44
Unknown-57,26.47 ± 12.93,31.25 ± 14.11,28.45 ± 13.01,3720.00 ± 1249.80
Unknown-58,55.76 ± 11.28,59.40 ± 12.17,57.50 ± 11.67,9620.00 ± 5100.20
Unknown-59,36.71 ± 33.55,37.00 ± 33.81,36.85 ± 33.68,99580.00 ± 4516.30
Unknown-60,47.00 ± 21.15,50.87 ± 19.71,48.68 ± 20.64,3520.00 ± 3139.59
Unknown-61,2.50 ± 5.59,5.00 ± 11.18,3.33 ± 7.45,620.00 ± 589.07
Unknown-62,40.43 ± 10.52,48.39 ± 10.23,43.64 ± 10.02,1900.00 ± 484.77
Unknown-63,39.73 ± 41.76,34.67 ± 40.93,36.78 ± 41.12,1080.00 ± 1925.36
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 757.19
Unknown-65,55.06 ± 5.98,58.61 ± 5.59,56.72 ± 5.50,11280.00 ± 5299.25
Unknown-66,37.10 ± 7.49,38.30 ± 8.46,37.54 ± 7.45,2740.00 ± 1021.27
Unknown-67,24.45 ± 16.87,24.71 ± 16.06,24.52 ± 16.42,2560.00 ± 450.56
Unknown-68,25.53 ± 25.54,25.44 ± 23.76,25.32 ± 24.43,5940.00 ± 2578.37
Unknown-69,34.07 ± 19.68,33.39 ± 19.10,33.67 ± 19.29,7380.00 ± 1840.38
Unknown-70,74.79 ± 14.28,70.93 ± 17.11,72.76 ± 15.84,2400.00 ± 1433.53
Unknown-71,45.25 ± 8.49,43.51 ± 12.23,43.82 ± 8.94,1260.00 ± 594.14
Unknown-72,26.62 ± 7.44,23.11 ± 6.38,23.93 ± 4.23,1240.00 ± 740.27
Unknown-73,46.33 ± 16.35,50.89 ± 11.49,47.71 ± 13.95,1480.00 ± 601.66
Unknown-74,52.19 ± 8.03,54.12 ± 7.52,53.13 ± 7.75,20120.00 ± 6003.08
Unknown-75,39.36 ± 15.57,34.29 ± 10.77,36.29 ± 12.30,1300.00 ± 200.00
Unknown-76,71.83 ± 8.00,76.10 ± 8.20,73.83 ± 7.64,9340.00 ± 1771.44
Unknown-77,26.11 ± 20.63,32.98 ± 13.61,27.11 ± 14.61,880.00 ± 630.08
Unknown-78,40.86 ± 13.50,41.60 ± 7.63,40.20 ± 8.35,2360.00 ± 482.70
Unknown-79,21.36 ± 4.15,24.75 ± 6.17,22.67 ± 4.12,1500.00 ± 648.07
Unknown-80,28.00 ± 26.37,33.33 ± 31.18,30.43 ± 28.56,440.00 ± 207.36
Unknown-81,11.80 ± 12.17,9.02 ± 6.88,9.62 ± 7.71,2640.00 ± 730.07
Unknown-82,38.57 ± 41.53,16.50 ± 20.59,19.39 ± 19.75,560.00 ± 181.66
Unknown-83,49.35 ± 9.22,66.18 ± 11.99,56.34 ± 10.00,1220.00 ± 593.30
Unknown-84,42.06 ± 17.99,47.88 ± 12.04,44.19 ± 15.14,820.00 ± 303.32
Unknown-85,39.74 ± 22.88,41.62 ± 24.12,40.56 ± 23.30,10120.00 ± 4232.26
Unknown-86,69.67 ± 5.03,73.20 ± 9.68,71.30 ± 7.09,9140.00 ± 4386.68
Unknown-87,20.57 ± 16.81,19.83 ± 11.14,19.83 ± 13.93,2200.00 ± 1518.22
Unknown-89,14.00 ± 18.19,10.77 ± 11.53,11.98 ± 13.96,2780.00 ± 576.19
Unknown-90,15.24 ± 21.14,21.59 ± 37.12,16.76 ± 25.36,820.00 ± 164.32
Unknown-91,22.75 ± 15.10,40.51 ± 33.53,26.49 ± 17.85,720.00 ± 334.66
Unknown-92,60.12 ± 8.39,73.23 ± 15.57,65.50 ± 10.41,1120.00 ± 192.35
Unknown-94,39.79 ± 26.98,44.48 ± 32.49,41.58 ± 29.33,2540.00 ± 1301.15
Unknown-95,28.97 ± 18.83,28.61 ± 19.11,28.37 ± 18.56,2180.00 ± 785.49
Unknown-96,59.33 ± 6.50,59.35 ± 4.92,59.29 ± 5.43,14320.00 ± 3917.52
Unknown-97,19.03 ± 12.91,18.37 ± 8.56,17.22 ± 10.91,1220.00 ± 506.95
Unknown-98,31.67 ± 21.92,27.71 ± 21.37,29.38 ± 21.43,420.00 ± 216.79
Unknown-100,23.59 ± 8.23,22.78 ± 8.60,23.16 ± 8.39,3380.00 ± 622.09
Unknown-101,5.35 ± 8.25,8.21 ± 14.44,6.37 ± 10.42,1480.00 ± 798.12
Unknown-102,36.19 ± 2.48,36.95 ± 9.11,36.30 ± 5.37,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,13.70 ± 8.23,15.90 ± 10.18,14.70 ± 9.09,5360.00 ± 1006.48
