epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.020621,0.713636,1.182369,2.754035,0.250000,0.750000,0.114026,32.167767,3.266737,3.266737,32.051579,1.070644,1.070644
2,-0.031953,0.244365,0.101058,3.208909,0.250000,0.750000,0.127952,32.299679,4.650205,1.500433,32.067852,1.541057,0.552692
3,0.032679,0.032299,0.056530,3.204578,0.250000,0.750000,0.143177,32.396824,5.492163,0.933695,32.082291,1.869264,0.420895
4,0.006627,0.009838,0.096676,3.263270,0.250000,0.750000,0.159124,32.459057,6.020415,0.616727,32.096069,2.118072,0.406523
5,0.107150,0.006567,0.201092,3.336650,0.250000,0.750000,0.175327,32.484909,6.315610,0.425722,32.109867,2.313533,0.448241
6,-0.029052,0.005799,0.297109,3.380867,0.250000,0.750000,0.191358,32.494598,6.514915,0.322852,32.121330,2.478405,0.383857
7,-0.041931,0.007582,0.371565,3.483388,0.250000,0.750000,0.207485,32.500114,6.645299,0.305155,32.132061,2.629853,0.446098
8,0.021790,0.007738,0.133593,3.622254,0.250000,0.750000,0.224324,32.514149,6.739509,0.389747,32.144112,2.793256,0.466212
9,-0.010527,0.007529,0.296146,3.728782,0.250000,0.750000,0.241364,32.549877,6.812177,0.453306,32.163845,2.973020,0.532908
10,0.014644,0.010151,0.235843,3.749195,0.250000,0.750000,0.257995,32.611797,6.886800,0.442643,32.194466,3.176319,0.539266
11,0.017824,0.012117,0.626807,3.741447,0.250000,0.750000,0.273422,32.690453,6.934898,0.377395,32.231449,3.372144,0.476194
12,0.006944,0.011343,0.249389,3.795348,0.250000,0.750000,0.288792,32.810322,6.993126,0.494848,32.277294,3.560654,0.498233
13,0.011265,0.008352,0.562021,3.788174,0.250000,0.750000,0.303868,32.966591,7.094382,0.533477,32.329899,3.738523,0.486343
14,0.028761,0.008451,0.353780,3.797731,0.250000,0.750000,0.319050,33.146347,7.227018,0.629699,32.388073,3.911972,0.464408
15,0.089474,0.011176,0.492831,3.820196,0.250000,0.750000,0.334312,33.342999,7.416047,0.715084,32.446442,4.070485,0.432481
16,0.052380,0.013195,1.694554,3.763835,0.250000,0.750000,0.349002,33.546764,7.650085,0.770420,32.503735,4.220222,0.397039
17,0.102413,0.020884,0.588367,3.857629,0.250000,0.750000,0.364127,33.747337,7.924845,0.847021,32.559700,4.363818,0.395737
18,0.075132,0.028889,0.790092,3.831946,0.250000,0.750000,0.379267,33.892467,8.185215,0.924940,32.601120,4.482264,0.374868
19,-0.030744,0.068435,0.498154,3.847037,0.250000,0.750000,0.394117,33.991055,8.417176,0.871594,32.630989,4.580039,0.375498
20,-0.053946,0.030310,0.494699,3.889415,0.250000,0.750000,0.408985,34.053501,8.616160,0.773742,32.652893,4.667429,0.368954
21,0.015974,0.015311,0.376736,3.913874,0.250000,0.750000,0.424199,34.089920,8.777554,0.726964,32.670021,4.749703,0.367514
22,0.003297,0.015638,0.322235,3.974477,0.250000,0.750000,0.439688,34.106792,8.910048,0.747152,32.683353,4.829072,0.395638
23,-0.081643,0.013204,0.350973,3.973057,0.250000,0.750000,0.455288,34.113792,9.020546,0.553003,32.695320,4.911125,0.381698
24,0.079611,0.012440,0.457578,4.035585,0.250000,0.750000,0.470934,34.114143,9.107913,0.466730,32.706097,4.994524,0.391721
25,0.113669,0.011167,0.707321,4.059938,0.250000,0.750000,0.486445,34.109707,9.176567,0.491738,32.716618,5.078830,0.417202
26,0.098708,0.010979,0.711007,4.087950,0.250000,0.750000,0.501629,34.098915,9.227968,0.398605,32.727489,5.165326,0.405757
