Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,7.0000
Entertainment,0.0000,0.0000,0.0000,35.0000
Food,0.4286,0.2812,0.3396,32.0000
Nightlife,0.3333,0.2222,0.2667,9.0000
Outdoors,0.0000,0.0000,0.0000,2.0000
Shopping,0.5000,0.2500,0.3333,4.0000
Travel,0.3030,0.3571,0.3279,28.0000
None,0.5333,0.6154,0.5714,13.0000
Unknown-8,0.7143,0.7143,0.7143,21.0000
Unknown-9,0.1429,0.2000,0.1667,10.0000
Unknown-10,0.2000,0.2500,0.2222,4.0000
Unknown-11,0.4853,0.4583,0.4714,72.0000
Unknown-12,0.0000,0.0000,0.0000,13.0000
Unknown-13,0.3696,0.4857,0.4198,35.0000
Unknown-14,0.0000,0.0000,0.0000,4.0000
Unknown-15,0.2500,1.0000,0.4000,1.0000
Unknown-17,0.6422,0.6931,0.6667,101.0000
Unknown-18,0.2222,0.1667,0.1905,12.0000
Unknown-19,0.0000,0.0000,0.0000,1.0000
Unknown-20,0.2807,0.2540,0.2667,63.0000
Unknown-24,0.0000,0.0000,0.0000,1.0000
Unknown-25,0.0000,0.0000,0.0000,1.0000
Unknown-26,0.0000,0.0000,0.0000,3.0000
Unknown-27,0.3333,0.2222,0.2667,9.0000
Unknown-28,0.0000,0.0000,0.0000,1.0000
Unknown-29,0.0000,0.0000,0.0000,2.0000
Unknown-30,0.0000,0.0000,0.0000,2.0000
Unknown-31,0.3250,0.4062,0.3611,32.0000
Unknown-32,0.7500,0.7500,0.7500,4.0000
Unknown-33,0.3636,0.4000,0.3810,10.0000
Unknown-34,0.1000,0.0909,0.0952,11.0000
Unknown-35,1.0000,0.3333,0.5000,6.0000
Unknown-36,0.5417,0.5652,0.5532,23.0000
Unknown-37,0.0000,0.0000,0.0000,5.0000
Unknown-38,0.0000,0.0000,0.0000,3.0000
Unknown-39,0.0000,0.0000,0.0000,6.0000
Unknown-41,0.2581,0.2500,0.2540,32.0000
Unknown-42,0.0000,0.0000,0.0000,1.0000
Unknown-43,0.1429,0.5714,0.2286,7.0000
Unknown-44,0.1818,0.1176,0.1429,17.0000
Unknown-45,0.0000,0.0000,0.0000,2.0000
Unknown-46,0.4630,0.4386,0.4505,57.0000
Unknown-47,0.1364,0.2308,0.1714,13.0000
Unknown-48,1.0000,0.6667,0.8000,3.0000
Unknown-49,0.4000,0.4545,0.4255,22.0000
Unknown-50,0.3333,0.2000,0.2500,5.0000
Unknown-51,0.1136,0.2083,0.1471,24.0000
Unknown-52,0.0588,0.0769,0.0667,13.0000
Unknown-53,0.2000,0.1429,0.1667,14.0000
Unknown-54,0.0000,0.0000,0.0000,1.0000
Unknown-55,0.1667,0.0500,0.0769,20.0000
Unknown-56,0.1304,0.3000,0.1818,10.0000
