Category,precision,recall,f1-score,support
Community,0.0000,0.0000,0.0000,9.4000
Entertainment,0.0897,0.0819,0.0856,24.2000
Food,0.5221,0.3272,0.3980,33.6000
Nightlife,0.3527,0.3221,0.3296,17.8000
Outdoors,0.0000,0.0000,0.0000,3.6000
Shopping,0.1571,0.1071,0.1238,5.2000
Travel,0.3226,0.3458,0.3324,40.0000
None,0.4553,0.5414,0.4898,11.6000
Unknown-8,0.6184,0.6381,0.6231,19.8000
Unknown-9,0.3363,0.3022,0.3123,22.8000
Unknown-10,0.3274,0.3729,0.3471,19.0000
Unknown-11,0.4137,0.4577,0.4285,52.4000
Unknown-12,0.0376,0.0378,0.0377,11.6000
Unknown-13,0.4051,0.4191,0.4095,47.2000
Unknown-14,0.0000,0.0000,0.0000,3.2000
Unknown-17,0.4269,0.4640,0.4417,47.0000
Unknown-18,0.2905,0.2823,0.2803,24.8000
Unknown-20,0.3554,0.3354,0.3411,58.4000
Unknown-21,0.5000,0.5000,0.4444,1.3333
Unknown-23,0.1111,0.2222,0.1481,2.0000
Unknown-24,0.0000,0.0000,0.0000,1.0000
Unknown-26,0.0000,0.0000,0.0000,2.8000
Unknown-27,0.1365,0.1667,0.1333,6.4000
Unknown-28,0.0000,0.0000,0.0000,1.8000
Unknown-30,0.0000,0.0000,0.0000,3.8000
Unknown-31,0.3381,0.3231,0.3166,35.8000
Unknown-32,0.3804,0.4137,0.3929,4.0000
Unknown-33,0.5079,0.5356,0.5157,36.6000
Unknown-34,0.2835,0.2820,0.2800,11.6000
Unknown-35,0.5800,0.4571,0.4749,4.4000
Unknown-36,0.3008,0.3173,0.3087,15.4000
Unknown-38,0.0000,0.0000,0.0000,1.6000
Unknown-39,0.0333,0.0333,0.0333,5.2000
Unknown-40,0.0000,0.0000,0.0000,1.0000
Unknown-41,0.2097,0.2092,0.2084,20.6000
Unknown-43,0.3044,0.4412,0.3413,15.0000
Unknown-44,0.0916,0.0797,0.0838,12.8000
Unknown-45,0.0000,0.0000,0.0000,1.5000
Unknown-46,0.3800,0.3829,0.3801,54.4000
Unknown-47,0.1606,0.1795,0.1676,5.4000
Unknown-48,0.3295,0.4333,0.3400,2.2000
Unknown-49,0.3980,0.3931,0.3896,11.4000
Unknown-50,0.2628,0.2486,0.2481,7.8000
Unknown-51,0.0954,0.2169,0.1242,13.4000
Unknown-52,0.0118,0.0154,0.0133,3.2000
Unknown-53,0.2556,0.2119,0.2225,11.4000
Unknown-54,0.1500,0.3000,0.1800,1.4000
Unknown-55,0.2447,0.1750,0.1998,22.2000
Unknown-56,0.1174,0.2597,0.1606,10.8000
Unknown-57,0.2327,0.2252,0.2275,26.8000
Unknown-58,0.0000,0.0000,0.0000,1.7500
Unknown-60,0.2204,0.2362,0.2270,18.4000
Unknown-61,0.2530,0.2800,0.2243,4.8000
Unknown-62,0.0514,0.0900,0.0622,10.6000
Unknown-63,0.0000,0.0000,0.0000,2.0000
Unknown-64,0.1091,0.1500,0.1263,6.4000
Unknown-65,0.2109,0.2889,0.2302,8.6000
Unknown-67,0.0000,0.0000,0.0000,5.8000
Unknown-68,0.0625,0.0227,0.0333,4.2500
Unknown-69,0.2806,0.3121,0.2810,18.4000
Unknown-70,0.3203,0.2776,0.2951,23.0000
Unknown-72,0.0704,0.0694,0.0698,16.4000
Unknown-74,0.0000,0.0000,0.0000,2.2000
Unknown-75,0.0500,0.0467,0.0483,10.8000
Unknown-76,0.3399,0.3417,0.3321,7.2500
Unknown-77,0.0486,0.3333,0.0834,6.4000
Unknown-78,0.0000,0.0000,0.0000,1.8000
Unknown-79,0.3380,0.3350,0.3344,38.0000
Unknown-80,0.5477,0.5899,0.5657,28.2000
Unknown-81,0.4807,0.5314,0.5003,14.6000
Unknown-82,0.0000,0.0000,0.0000,6.4000
Unknown-84,0.1469,0.1548,0.1499,12.8000
Unknown-85,0.0667,0.2000,0.1000,1.4000
Unknown-86,0.0000,0.0000,0.0000,0.6000
Unknown-87,0.3867,0.3300,0.3276,3.4000
Unknown-89,0.0000,0.0000,0.0000,7.2000
Unknown-90,0.0000,0.0000,0.0000,1.6667
Unknown-91,0.0000,0.0000,0.0000,1.6000
Unknown-92,0.0000,0.0000,0.0000,1.0000
Unknown-93,0.0000,0.0000,0.0000,0.6667
Unknown-94,0.0833,0.1250,0.1000,2.5000
Unknown-95,0.1626,0.2470,0.1940,12.6000
Unknown-96,0.3423,0.3400,0.3266,6.4000
Unknown-97,0.0300,0.0316,0.0308,9.6000
Unknown-98,0.2130,0.2396,0.2251,6.0000
Unknown-99,0.0000,0.0000,0.0000,4.2500
Unknown-100,0.0000,0.0000,0.0000,3.2000
Unknown-101,0.5167,0.4667,0.4733,3.0000
Unknown-102,0.0500,0.0250,0.0333,3.2000
