epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.001328,0.519392,1.680199,3.235534,0.250000,0.750000,0.132377,32.331890,4.898974,4.898974,32.048656,1.641338,1.641338
2,0.097169,0.453118,0.702641,3.755696,0.250000,0.750000,0.167486,32.462677,6.138260,1.501057,32.072704,2.211023,0.937012
3,0.072134,0.004713,0.199978,3.882567,0.250000,0.750000,0.204811,32.500751,6.630273,0.781724,32.085876,2.577008,0.774826
4,-0.029946,0.002239,0.186296,3.980849,0.250000,0.750000,0.241416,32.511353,6.910871,0.853633,32.094864,2.884577,0.763268
5,-0.017303,0.003092,0.244351,4.029002,0.250000,0.750000,0.277068,32.528381,7.153845,0.865110,32.109959,3.193698,0.795571
6,0.028461,0.012773,0.388436,4.009669,0.250000,0.750000,0.312171,32.563625,7.321997,0.782342,32.138050,3.493853,0.830224
7,0.031226,0.002415,0.190868,3.987451,0.250000,0.750000,0.346781,32.684017,7.456718,0.875402,32.192398,3.796698,0.870960
8,0.001434,0.001461,0.427010,3.950644,0.250000,0.750000,0.381236,32.937660,7.629908,1.078343,32.285992,4.134129,1.058012
9,0.036603,0.001603,0.556363,3.892796,0.250000,0.750000,0.414432,33.211735,7.917347,1.426060,32.380077,4.450821,0.915230
10,-0.002383,0.001824,0.574934,3.843896,0.250000,0.750000,0.446863,33.383884,8.238694,1.407156,32.438480,4.671419,0.712429
11,-0.016162,0.002812,0.305168,3.857131,0.250000,0.750000,0.480532,33.456917,8.511841,1.379138,32.471989,4.850902,0.708432
12,0.064264,0.002657,0.298048,3.867678,0.250000,0.750000,0.515078,33.468750,8.691761,0.938508,32.494389,5.016299,0.722335
13,-0.003272,0.002979,0.268472,3.859403,0.250000,0.750000,0.549874,33.450195,8.803126,0.784012,32.511921,5.182120,0.706792
14,-0.035580,0.003408,0.219523,3.800499,0.250000,0.750000,0.584701,33.410557,8.877775,0.732625,32.529781,5.351604,0.740944
15,-0.046867,0.004151,0.308786,3.780910,0.250000,0.750000,0.618903,33.369148,8.942054,0.697674,32.548935,5.522994,0.775515
16,-0.024998,0.009445,0.240731,3.746808,0.250000,0.750000,0.652236,33.312305,8.989071,0.641411,32.567810,5.689254,0.744383
17,0.039245,0.016482,0.340325,3.701727,0.250000,0.750000,0.685239,33.260387,9.026604,0.487386,32.586281,5.853593,0.753311
18,0.017168,0.009926,0.227835,3.668389,0.250000,0.750000,0.717751,33.202446,9.062664,0.619336,32.609196,6.026219,0.812310
19,-0.017720,0.014052,0.180713,3.652860,0.250000,0.750000,0.749458,33.158390,9.104820,0.771379,32.630398,6.194022,0.792548
20,-0.015252,0.007983,0.303934,3.636231,0.250000,0.750000,0.780261,33.112534,9.150537,0.603546,32.653419,6.367640,0.821017
21,0.016927,0.006286,0.239535,3.616133,0.250000,0.750000,0.810255,33.050858,9.187489,0.722092,32.678276,6.543144,0.794242
22,0.002393,0.007326,0.199162,3.657541,0.250000,0.750000,0.839992,32.988831,9.220744,0.614920,32.702244,6.708711,0.872913
23,-0.001281,0.011935,0.350343,3.649055,0.250000,0.750000,0.868049,32.926144,9.256543,0.695544,32.729324,6.887956,0.858531
24,-0.018570,0.022289,0.266378,3.680334,0.250000,0.750000,0.895619,32.869316,9.306967,0.687261,32.758064,7.067384,0.874215
25,0.011015,0.006797,0.293106,3.688142,0.250000,0.750000,0.921844,32.815430,9.361281,0.783573,32.785263,7.233383,0.863311
26,-0.017955,0.005142,0.284837,3.775673,0.250000,0.750000,0.947390,32.752228,9.398583,0.687064,32.811882,7.392487,0.851105
27,0.010525,0.003311,0.365508,3.785622,0.250000,0.750000,0.971764,32.689335,9.443069,0.928036,32.838062,7.546810,0.826253
28,-0.070419,0.019011,0.325381,3.895174,0.250000,0.750000,0.995161,32.642540,9.503910,0.742951,32.867462,7.698675,0.847487
29,-0.031964,0.002028,0.297285,3.974401,0.250000,0.750000,1.018064,32.584576,9.580801,0.895944,32.897633,7.855304,0.858038
30,0.020333,0.002146,0.326799,4.093127,0.250000,0.750000,1.040489,32.524597,9.643780,0.685926,32.925739,8.002411,0.846212
31,0.001130,0.005044,0.233349,4.261755,0.250000,0.750000,1.061834,32.449383,9.684667,0.820545,32.956322,8.156562,0.878779
32,-0.007172,0.002699,0.361428,4.347983,0.250000,0.750000,1.082104,32.389828,9.736886,0.907733,32.987183,8.308859,0.847778
33,-0.013189,0.003187,0.337760,4.590263,0.250000,0.750000,1.101859,32.333179,9.815171,0.760566,33.012886,8.443164,0.837044
34,0.025515,0.002527,0.346897,4.708412,0.250000,0.750000,1.121122,32.276344,9.862743,0.686588,33.037655,8.575394,0.853494
35,-0.016341,0.001357,0.486025,4.885193,0.250000,0.750000,1.139020,32.216911,9.923974,0.680773,33.062862,8.700496,0.804645
36,0.002770,0.001311,0.314022,5.034573,0.250000,0.750000,1.156322,32.161308,9.980161,0.554926,33.083706,8.816688,0.791767
37,-0.012342,0.001287,0.303440,5.354758,0.250000,0.750000,1.173331,32.095089,10.029596,0.628912,33.107697,8.936873,0.779486
38,0.013649,0.000891,0.312688,5.578267,0.250000,0.750000,1.189803,32.033894,10.066047,0.562381,33.127178,9.051402,0.794779
39,0.017935,0.002192,0.335229,5.817377,0.250000,0.750000,1.205898,31.969910,10.095901,0.520485,33.145161,9.156840,0.804212
40,-0.006848,0.001161,0.280404,5.962978,0.250000,0.750000,1.221324,31.909044,10.126225,0.558292,33.166275,9.269118,0.787022
41,0.009220,0.000882,0.342086,6.273020,0.250000,0.750000,1.235999,31.850788,10.156960,0.567784,33.187031,9.377076,0.760806
42,0.004197,0.001445,0.322534,6.573219,0.250000,0.750000,1.250308,31.798903,10.196995,0.582650,33.203426,9.469136,0.793920
43,0.003167,0.002029,0.245321,6.761136,0.250000,0.750000,1.264103,31.742319,10.249339,0.660064,33.222420,9.569717,0.738413
44,-0.006921,0.000651,0.257014,7.180005,0.250000,0.750000,1.276581,31.685051,10.298576,0.750741,33.235821,9.656121,0.732006
45,0.004384,0.000718,0.242487,7.545075,0.250000,0.750000,1.289267,31.629822,10.331088,0.635472,33.249043,9.745096,0.742947
46,-0.003952,0.000449,0.298520,7.863941,0.250000,0.750000,1.301362,31.580713,10.374352,0.597449,33.261658,9.832636,0.737006
47,0.000563,0.000596,0.215176,8.311865,0.250000,0.750000,1.312784,31.528364,10.413680,0.469031,33.274086,9.917679,0.711525
48,0.004935,0.000306,0.242355,8.519420,0.250000,0.750000,1.324187,31.478735,10.444705,0.428475,33.282593,9.991996,0.704292
49,0.003616,0.000662,0.245603,8.623502,0.250000,0.750000,1.335373,31.426271,10.464065,0.368697,33.291885,10.072848,0.708596
50,-0.003480,0.001094,0.267274,8.966713,0.250000,0.750000,1.346136,31.364735,10.479298,0.318487,33.302776,10.156692,0.713647
