epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.010103,0.805601,1.104661,4.469829,0.193360,32.455166,6.715874,6.715874,32.089161,3.057527,3.057527
2,-0.017258,0.148249,0.315598,5.495943,0.286535,32.289265,7.287681,2.204609,32.173370,4.484315,2.769334
3,-0.003490,0.019856,0.208052,5.883194,0.379357,32.390511,8.369119,4.203628,32.291214,5.707928,2.716696
4,0.091564,0.004996,0.292232,6.033539,0.471879,32.094940,8.342071,0.373822,32.380077,6.601214,2.307034
5,0.028145,0.007434,0.149519,5.914136,0.563703,31.800999,8.334903,0.559894,32.468143,7.297954,2.275869
6,-0.085731,0.019886,0.241137,5.677006,0.654605,31.535488,8.413542,1.210235,32.525024,7.808402,1.840331
7,0.003353,0.005656,0.171458,5.456215,0.744366,31.250349,8.402137,0.300975,32.552418,8.255880,1.786534
8,-0.000060,0.006539,0.148254,5.238789,0.832797,30.972513,8.392481,0.291250,32.568401,8.628269,1.621174
9,-0.006555,0.002325,0.158272,4.960587,0.919747,30.701893,8.392797,0.282635,32.593788,8.997504,1.696332
10,-0.005648,0.005775,0.210146,4.726717,1.005014,30.438864,8.401140,0.344708,32.619217,9.343253,1.634739
11,0.004995,0.013140,0.182640,4.500509,1.088472,30.183544,8.419654,0.293133,32.635872,9.665260,1.593289
12,0.000794,0.007787,0.178279,4.304743,1.169007,29.943607,8.481532,0.676098,32.657612,9.973295,1.535358
13,0.010866,0.023132,0.162492,4.140556,1.247598,29.726866,8.575449,0.842478,32.672493,10.231140,1.458903
14,-0.000594,0.003274,0.162816,3.992339,1.324562,29.500128,8.630181,0.337670,32.689213,10.493615,1.438334
15,-0.006618,0.012204,0.118690,3.906969,1.398394,29.299953,8.798222,1.108851,32.700512,10.722147,1.384915
16,-0.025549,0.004304,0.145389,3.810270,1.468655,29.112705,8.933889,0.622828,32.705467,10.928428,1.307108
17,0.003975,0.001398,0.104106,3.780294,1.530980,28.907082,8.986139,0.503598,32.711414,11.132384,1.293077
18,-0.003492,0.025913,0.145874,3.719315,1.580803,28.728817,9.127335,0.983123,32.720646,11.328155,1.303930
19,-0.000333,0.010663,0.123180,3.691683,1.622598,28.548359,9.188608,0.347860,32.725441,11.495250,1.221168
20,0.002623,0.004195,0.114804,3.718089,1.654215,28.369528,9.240448,0.230375,32.728645,11.653083,1.183316
21,0.005317,0.001623,0.135497,3.725934,1.682967,28.200148,9.293916,0.252745,32.725029,11.790996,1.139735
22,-0.001558,0.004073,0.129510,3.712464,1.707276,28.036625,9.340896,0.222326,32.718552,11.915787,1.090364
23,-0.002840,0.005440,0.122564,3.719957,1.726845,27.884613,9.397193,0.664554,32.714668,12.031001,1.046853
24,0.001457,0.007222,0.110741,3.740520,1.743392,27.756639,9.518991,1.117426,32.709976,12.137872,1.003892
25,-0.006350,0.006577,0.129787,3.755563,1.758314,27.638706,9.677988,1.049545,32.704987,12.236389,0.963696
26,0.004953,0.003528,0.147132,3.763717,1.770050,27.516901,9.735476,0.274980,32.696045,12.322801,0.918530
27,-0.003586,0.004106,0.104024,3.832243,1.781208,27.399872,9.774936,0.202243,32.687115,12.401717,0.853212
28,0.004663,0.001792,0.127227,3.847491,1.790497,27.289755,9.807041,0.151047,32.675655,12.468414,0.818957
29,0.007732,0.003306,0.115776,3.888925,1.799083,27.195108,9.859885,0.415402,32.662018,12.526189,0.737340
30,-0.002721,0.003847,0.110692,3.891758,1.805998,27.104471,9.897498,0.512517,32.650814,12.581266,0.700203
31,0.002898,0.001642,0.109457,3.926768,1.812261,27.025387,9.938998,0.375403,32.641518,12.625953,0.679682
32,0.024033,0.001643,0.119763,3.954575,1.818225,26.948349,9.952968,0.270973,32.631123,12.669522,0.612702
33,-0.000986,0.004720,0.119212,3.994973,1.822590,26.878641,9.993835,0.249939,32.621468,12.707575,0.547485
34,-0.000467,0.001179,0.102002,4.017236,1.826412,26.816830,10.026191,0.124629,32.610119,12.736078,0.496193
35,-0.001185,0.006090,0.114867,4.056966,1.830352,26.761217,10.048933,0.077479,32.600330,12.760811,0.439174
36,0.032325,0.004350,0.122068,4.081672,1.833164,26.712067,10.066963,0.058154,32.590572,12.782391,0.393791
37,0.001569,0.003658,0.122086,4.102913,1.835913,26.669331,10.083817,0.058583,32.580761,12.797391,0.369099
38,-0.004716,0.001508,0.126337,4.133551,1.838238,26.632706,10.100470,0.052457,32.572330,12.811566,0.318805
39,-0.006064,0.002319,0.131056,4.149850,1.840441,26.601418,10.113379,0.038263,32.564510,12.822284,0.274330
40,-0.005485,0.002011,0.124500,4.180312,1.841677,26.574762,10.124464,0.033672,32.557823,12.830219,0.235948
