Category,precision,recall,f1-score,support
Community,32.01 ± 22.70,35.19 ± 25.50,33.50 ± 24.01,2760.00 ± 1397.50
Entertainment,21.10 ± 19.93,25.71 ± 23.65,23.10 ± 21.46,4160.00 ± 1502.66
Food,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,420.00 ± 605.81
Nightlife,18.52 ± 19.83,23.36 ± 21.80,20.30 ± 20.34,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,36.10 ± 24.98,29.88 ± 27.35,31.66 ± 25.78,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,7.50 ± 11.18,14.00 ± 21.91,9.74 ± 14.77,280.00 ± 130.38
Unknown-8,54.26 ± 5.59,54.35 ± 11.28,53.81 ± 7.24,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,2.50 ± 5.59,4.00 ± 8.94,3.08 ± 6.88,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,22.22 ± 25.76,34.09 ± 41.47,25.93 ± 29.94,400.00 ± 418.33
Unknown-13,10.67 ± 15.35,8.33 ± 11.79,8.89 ± 12.17,340.00 ± 194.94
Unknown-14,6.22 ± 9.08,5.33 ± 7.67,5.74 ± 8.31,640.00 ± 270.19
Unknown-15,36.99 ± 3.76,44.93 ± 5.70,40.54 ± 4.44,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,17.05 ± 23.58,15.00 ± 19.15,13.39 ± 15.53,275.00 ± 263.00
Unknown-18,42.30 ± 24.44,42.10 ± 23.88,42.18 ± 24.13,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 152.75
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,63.80 ± 6.75,71.16 ± 5.09,67.11 ± 4.79,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,53.05 ± 19.84,46.79 ± 15.84,49.60 ± 17.63,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 734.85
Unknown-28,54.15 ± 49.44,54.98 ± 50.19,54.56 ± 49.81,708180.00 ± 15898.80
Unknown-29,2.50 ± 5.59,20.00 ± 44.72,4.44 ± 9.94,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-31,4.69 ± 9.38,12.50 ± 25.00,6.82 ± 13.64,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
