epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.012336,0.715573,1.222988,2.976276,0.250000,0.750000,0.114365,32.135468,3.297712,3.297712,32.030514,1.089850,1.089850
2,0.001157,0.289733,0.240197,3.270038,0.250000,0.750000,0.129245,32.271175,4.730777,1.555082,32.049332,1.582072,0.590613
3,0.020757,0.023279,0.319213,3.290360,0.250000,0.750000,0.144337,32.358589,5.523226,0.906755,32.063557,1.888686,0.463325
4,-0.032939,0.010547,0.248469,3.408265,0.250000,0.750000,0.159853,32.410156,6.001832,0.640242,32.075718,2.124146,0.425597
5,0.023727,0.008984,0.239604,3.499215,0.250000,0.750000,0.175985,32.443687,6.311501,0.458260,32.085266,2.317350,0.426445
6,-0.041663,0.005624,0.190857,3.550226,0.250000,0.750000,0.192425,32.466393,6.526985,0.391821,32.093773,2.491217,0.403519
7,0.037784,0.006394,0.168964,3.635638,0.250000,0.750000,0.208920,32.485607,6.687181,0.374141,32.100765,2.645409,0.406521
8,-0.006144,0.009887,0.316430,3.709341,0.250000,0.750000,0.225498,32.505135,6.804691,0.345899,32.109035,2.806271,0.414108
9,-0.005889,0.007669,0.297732,3.813734,0.250000,0.750000,0.241740,32.524704,6.895797,0.333484,32.120548,2.966798,0.407670
10,0.024940,0.004888,0.277407,3.864545,0.250000,0.750000,0.258035,32.546844,6.967573,0.333057,32.137001,3.126466,0.437614
11,-0.019605,0.006419,0.224144,3.909050,0.250000,0.750000,0.274605,32.572697,7.027098,0.316785,32.156494,3.280600,0.424657
12,0.012537,0.009084,0.239085,3.923825,0.250000,0.750000,0.291138,32.616280,7.075444,0.324594,32.182549,3.432713,0.455406
13,-0.003972,0.008282,0.251513,3.938719,0.250000,0.750000,0.307517,32.694088,7.134037,0.385239,32.218170,3.593390,0.489321
14,-0.009050,0.011582,0.466004,3.875831,0.250000,0.750000,0.323012,32.801773,7.202357,0.437852,32.261738,3.755530,0.501114
15,0.028771,0.014931,0.544976,3.904266,0.250000,0.750000,0.338077,32.934792,7.286422,0.515881,32.311073,3.917255,0.465727
16,0.013231,0.026923,0.650225,3.872479,0.250000,0.750000,0.353106,33.084885,7.413327,0.602807,32.361446,4.075068,0.443879
17,-0.023621,0.028087,0.679318,3.934556,0.250000,0.750000,0.368049,33.224384,7.566985,0.706228,32.406166,4.214771,0.403280
18,-0.012516,0.028253,0.539062,3.974308,0.250000,0.750000,0.383179,33.321136,7.719211,0.737943,32.439476,4.329986,0.367661
19,-0.007713,0.021456,0.437861,4.026769,0.250000,0.750000,0.398474,33.385273,7.865318,0.784948,32.464207,4.431975,0.372970
20,0.022310,0.020659,0.313869,4.078645,0.250000,0.750000,0.414158,33.425636,8.001959,0.742603,32.483566,4.525515,0.366973
21,-0.021506,0.037112,0.218528,4.041284,0.250000,0.750000,0.430016,33.451313,8.131866,0.611693,32.500259,4.618319,0.384346
22,-0.047701,0.041917,0.577485,4.091752,0.250000,0.750000,0.445363,33.461315,8.244316,0.543981,32.514183,4.708310,0.405099
23,0.127500,0.157852,0.441292,4.157900,0.250000,0.750000,0.460671,33.461170,8.333902,0.432683,32.527069,4.800208,0.386752
24,0.032985,0.057946,0.276086,4.245172,0.250000,0.750000,0.476166,33.454926,8.407167,0.410515,32.539154,4.895392,0.412754
25,-0.045056,0.022284,0.391954,4.229303,0.250000,0.750000,0.491343,33.443802,8.462923,0.367873,32.551006,4.991179,0.412490
26,0.073097,0.011962,0.347775,4.334185,0.250000,0.750000,0.506518,33.428345,8.504374,0.329289,32.563038,5.087898,0.425255
27,-0.046487,0.018331,0.342150,4.445685,0.250000,0.750000,0.521765,33.411552,8.537688,0.295631,32.576130,5.186162,0.444044
28,-0.001174,0.067093,0.329446,4.481616,0.250000,0.750000,0.536942,33.394848,8.569498,0.321251,32.587852,5.281509,0.463341
29,0.112141,0.034035,0.641697,4.520498,0.250000,0.750000,0.551741,33.376457,8.597349,0.355169,32.600449,5.379181,0.446294
30,-0.019139,0.032252,0.528665,4.628574,0.250000,0.750000,0.566421,33.358238,8.625208,0.408055,32.613770,5.475455,0.445993
31,0.044793,0.050403,0.524417,4.751620,0.250000,0.750000,0.581107,33.340832,8.652061,0.363949,32.627285,5.576050,0.453021
32,-0.005692,0.056482,0.292939,4.834861,0.250000,0.750000,0.595939,33.321983,8.680183,0.405063,32.640186,5.674581,0.469592
33,0.020971,0.071830,0.278673,5.014294,0.250000,0.750000,0.610755,33.302277,8.708576,0.327608,32.654060,5.776756,0.473522
34,0.041981,0.073019,0.320868,5.202351,0.250000,0.750000,0.625404,33.281960,8.733359,0.308974,32.669071,5.881096,0.477837
35,-0.016928,0.074038,0.346606,5.264791,0.250000,0.750000,0.639682,33.257912,8.748415,0.273657,32.681725,5.978985,0.483842
36,0.051663,0.120606,0.307710,5.418604,0.250000,0.750000,0.653560,33.230297,8.755989,0.265640,32.694729,6.078996,0.459896
37,0.010411,0.187737,0.400412,5.612936,0.250000,0.750000,0.667056,33.203415,8.763810,0.301133,32.706387,6.171579,0.451083
38,-0.036423,0.125266,0.349257,5.893347,0.250000,0.750000,0.680660,33.175518,8.772559,0.273418,32.718266,6.259235,0.449813
39,-0.023959,0.497337,0.439193,5.980570,0.250000,0.750000,0.694077,33.146843,8.783590,0.303396,32.730110,6.348462,0.462556
40,0.019579,0.168606,0.337026,6.233162,0.250000,0.750000,0.707269,33.118809,8.794457,0.280031,32.743378,6.437851,0.492772
41,-0.000291,0.776000,0.404455,6.297401,0.250000,0.750000,0.720042,33.094799,8.803647,0.328870,32.757534,6.529800,0.549737
42,0.080549,0.571213,0.525601,6.411775,0.250000,0.750000,0.732545,33.068478,8.819833,0.354045,32.772640,6.626206,0.498512
