epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.016587,0.664678,2.593077,3.247950,0.250000,0.750000,0.132478,32.332325,4.920645,4.920645,32.053093,1.641261,1.641261
2,0.090081,0.084434,0.365684,3.814356,0.250000,0.750000,0.167480,32.506390,6.266828,1.575609,32.079281,2.218481,0.943686
3,0.007857,0.009039,0.348991,3.926139,0.250000,0.750000,0.204864,32.580830,6.857398,0.950520,32.089928,2.562551,0.764307
4,0.100576,0.003423,0.209181,4.010795,0.250000,0.750000,0.242318,32.607677,7.150991,0.784879,32.098545,2.863749,0.788004
5,-0.067218,0.004105,0.344718,4.029825,0.250000,0.750000,0.277285,32.607452,7.325173,0.603492,32.112518,3.158170,0.749311
6,0.038021,0.003086,0.394349,4.018345,0.250000,0.750000,0.311816,32.603252,7.443513,0.514498,32.125980,3.432052,0.734521
7,0.006759,0.001019,0.159631,4.031445,0.250000,0.750000,0.346467,32.603016,7.530334,0.564952,32.144314,3.673731,0.729941
8,-0.002549,0.001302,0.171196,4.007036,0.250000,0.750000,0.381705,32.635269,7.637158,0.641717,32.170864,3.903452,0.785064
9,-0.016750,0.001862,0.302079,3.995856,0.250000,0.750000,0.417183,32.705856,7.742325,0.720750,32.213753,4.163576,0.881451
10,-0.002608,0.002100,0.266104,3.958774,0.250000,0.750000,0.451927,32.758167,7.843824,0.813123,32.258705,4.415214,0.754346
11,-0.050647,0.002930,0.298906,3.921509,0.250000,0.750000,0.485871,32.878414,7.956356,0.743064,32.312820,4.650349,0.753973
12,0.013782,0.007255,0.411875,3.867026,0.250000,0.750000,0.518463,33.031517,8.108596,0.896976,32.372822,4.873590,0.740509
13,-0.007233,0.006690,0.299363,3.920740,0.250000,0.750000,0.551363,33.164822,8.294006,1.104847,32.425186,5.083768,0.727595
14,0.023432,0.006794,0.550495,3.856688,0.250000,0.750000,0.583916,33.286690,8.500443,1.155864,32.473320,5.268094,0.708850
15,0.045451,0.005069,0.300202,3.811023,0.250000,0.750000,0.616511,33.406422,8.706848,1.035882,32.519764,5.465154,0.743003
16,-0.019088,0.010499,0.348956,3.835328,0.250000,0.750000,0.648852,33.510887,8.930208,1.268744,32.567154,5.649954,0.736435
17,-0.021293,0.006766,0.384812,3.767834,0.250000,0.750000,0.680901,33.556870,9.111757,1.141593,32.607548,5.837495,0.752767
18,-0.014260,18.594776,0.312083,3.782486,0.250000,0.750000,0.711033,33.578621,9.292924,1.295950,32.644547,6.010430,0.830732
19,0.004000,0.003322,0.452339,3.750190,0.250000,0.750000,0.740803,33.584927,9.516027,1.479724,32.675404,6.171001,0.776496
20,0.009395,0.004187,0.290065,3.704436,0.250000,0.750000,0.770618,33.567951,9.750412,1.531329,32.701576,6.331881,0.772624
21,0.020276,0.007597,0.323548,3.775797,0.250000,0.750000,0.801365,33.570705,9.977310,1.448954,32.725418,6.492455,0.805500
22,-0.011301,0.003729,0.201191,3.792833,0.250000,0.750000,0.831749,33.546200,10.151332,1.332655,32.752060,6.657540,0.800377
23,0.005794,0.013592,0.368157,3.780550,0.250000,0.750000,0.860767,33.508835,10.321432,1.597634,32.779282,6.817244,0.825544
24,-0.020400,0.015494,0.365864,3.827171,0.250000,0.750000,0.888543,33.469719,10.461661,0.975807,32.806145,6.986150,0.831166
25,0.020627,0.019141,0.324142,3.944347,0.250000,0.750000,0.915094,33.408661,10.543655,0.796744,32.836102,7.146861,0.827363
26,-0.028806,0.004341,0.387255,3.931322,0.250000,0.750000,0.940373,33.403507,10.696836,1.210013,32.863968,7.295074,0.823520
27,-0.013978,0.003287,0.271797,4.056177,0.250000,0.750000,0.965398,33.401333,10.846883,0.957704,32.892803,7.455069,0.841619
28,-0.003828,0.005146,0.311495,4.180838,0.250000,0.750000,0.989398,33.344612,10.906515,0.640677,32.920673,7.608257,0.825903
29,0.006850,0.029334,0.284717,4.314338,0.250000,0.750000,1.012753,33.282333,10.944713,0.730865,32.948582,7.756315,0.835649
30,0.004474,0.016746,0.360603,4.391834,0.250000,0.750000,1.035415,33.211739,10.980103,0.707665,32.975224,7.906609,0.825877
31,0.018480,0.008823,0.324904,4.563633,0.250000,0.750000,1.057118,33.133110,11.001066,0.593404,33.002663,8.050230,0.809981
32,-0.013355,0.012766,0.334702,4.868056,0.250000,0.750000,1.077974,33.044128,11.014723,0.744112,33.027988,8.186152,0.817570
33,-0.001259,0.015386,0.344652,4.933895,0.250000,0.750000,1.098324,32.977375,11.057681,0.812972,33.050335,8.316156,0.811845
34,0.019251,0.004082,0.437364,5.044733,0.250000,0.750000,1.117593,32.920849,11.131685,0.881938,33.072956,8.441113,0.834732
35,0.004667,0.007236,0.281329,5.276043,0.250000,0.750000,1.136094,32.856903,11.205804,0.944003,33.096882,8.560510,0.784408
36,-0.021876,0.011635,0.313639,5.555141,0.250000,0.750000,1.154102,32.798592,11.267385,0.781087,33.119175,8.679276,0.792999
37,0.004013,0.003102,0.457142,5.810655,0.250000,0.750000,1.171102,32.731564,11.301407,0.731288,33.138500,8.787809,0.739274
38,0.007810,0.002999,0.307826,6.086878,0.250000,0.750000,1.187787,32.655384,11.333662,0.844409,33.157768,8.897486,0.766492
39,0.002610,0.003835,0.274304,6.200951,0.250000,0.750000,1.203887,32.597183,11.376785,0.791477,33.174385,9.002623,0.808285
40,0.007846,5.904418,0.266924,6.389775,0.250000,0.750000,1.218273,32.533520,11.425807,0.907541,33.198826,9.133457,0.968607
41,-0.059189,0.357636,0.412591,6.641922,0.250000,0.750000,1.232928,32.466385,11.474517,0.805761,33.220802,9.251195,0.743576
42,-0.061307,0.005931,0.344114,7.222313,0.250000,0.750000,1.247321,32.424305,11.531722,0.707010,33.236336,9.346466,0.696540
43,0.016779,0.014771,0.236718,7.688757,0.250000,0.750000,1.261286,32.377834,11.568065,0.543328,33.246502,9.429152,0.659193
44,0.120570,0.070276,0.280943,7.945936,0.250000,0.750000,1.274451,32.322441,11.591042,0.595746,33.257339,9.507870,0.676400
45,-0.075171,0.001699,0.278893,8.232314,0.250000,0.750000,1.287156,32.259590,11.603776,0.446769,33.267136,9.582236,0.693444
46,-0.066581,0.003252,0.227069,8.331050,0.250000,0.750000,1.299244,32.173553,11.601936,0.578551,33.279037,9.666334,0.750132
47,0.021179,0.019737,0.282852,8.651930,0.250000,0.750000,1.311314,32.106857,11.618298,0.553874,33.291103,9.749771,0.698892
48,-0.029604,0.028669,0.270888,9.077670,0.250000,0.750000,1.323085,32.058456,11.647277,0.463131,33.300304,9.825292,0.691957
49,0.083227,0.017773,0.258487,9.385894,0.250000,0.750000,1.334492,32.006161,11.660998,0.421442,33.307289,9.895918,0.696327
50,-0.013604,0.013013,0.236638,9.932000,0.250000,0.750000,1.345217,31.950478,11.672429,0.437017,33.313240,9.959864,0.664400
