Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 151.66
Entertainment,0.54 ± 1.21,1.03 ± 2.29,0.71 ± 1.58,2080.00 ± 1480.54
Food,5.64 ± 6.50,7.95 ± 8.84,6.55 ± 7.46,1260.00 ± 296.65
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 258.84
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 454.97
Shopping,7.16 ± 9.91,8.06 ± 12.13,7.16 ± 9.91,1480.00 ± 664.83
Travel,42.20 ± 9.26,44.82 ± 9.26,43.42 ± 9.19,13960.00 ± 3293.63
None,19.48 ± 17.96,19.80 ± 21.58,18.98 ± 18.63,1240.00 ± 1250.20
Unknown-8,24.83 ± 14.63,24.29 ± 14.16,24.41 ± 14.09,1320.00 ± 576.19
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-10,22.50 ± 43.66,8.00 ± 10.95,9.74 ± 14.77,400.00 ± 122.47
Unknown-11,40.77 ± 9.57,38.52 ± 10.94,39.43 ± 9.91,5920.00 ± 2854.30
Unknown-12,35.11 ± 2.85,35.99 ± 3.59,35.47 ± 2.67,10100.00 ± 1467.99
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-14,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,140.00 ± 134.16
Unknown-15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-16,17.99 ± 11.22,18.54 ± 13.68,18.04 ± 12.37,2960.00 ± 568.33
Unknown-17,19.49 ± 22.61,20.67 ± 21.65,19.81 ± 22.09,480.00 ± 432.43
Unknown-18,36.38 ± 8.68,36.88 ± 10.84,36.57 ± 9.72,7880.00 ± 1672.42
Unknown-19,42.47 ± 16.97,41.50 ± 16.18,41.61 ± 15.82,2820.00 ± 1342.39
Unknown-20,74.11 ± 3.49,55.67 ± 4.80,63.55 ± 4.31,39240.00 ± 5201.73
Unknown-21,31.35 ± 21.27,31.07 ± 20.69,31.20 ± 20.96,12280.00 ± 5866.60
Unknown-22,38.57 ± 16.90,48.72 ± 14.64,42.41 ± 15.60,3300.00 ± 1816.59
Unknown-23,37.78 ± 6.96,37.76 ± 4.48,37.64 ± 5.23,4780.00 ± 970.57
Unknown-25,34.23 ± 9.75,42.26 ± 13.98,37.62 ± 11.39,1920.00 ± 722.50
Unknown-26,25.26 ± 21.84,23.69 ± 20.68,24.42 ± 21.18,1160.00 ± 716.24
Unknown-27,28.92 ± 19.86,34.25 ± 18.49,30.98 ± 18.89,960.00 ± 444.97
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-29,50.53 ± 11.07,56.40 ± 16.66,51.93 ± 10.44,880.00 ± 130.38
Unknown-31,43.75 ± 34.27,62.50 ± 47.87,47.50 ± 34.03,225.00 ± 263.00
Unknown-32,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-33,23.86 ± 17.10,16.54 ± 11.80,18.94 ± 12.99,2340.00 ± 1163.19
Unknown-35,21.37 ± 13.14,22.79 ± 13.00,21.89 ± 12.81,5300.00 ± 1511.62
Unknown-36,43.10 ± 11.44,45.66 ± 16.32,44.00 ± 13.64,4820.00 ± 1904.47
Unknown-37,6.69 ± 6.73,12.10 ± 14.41,8.46 ± 9.04,840.00 ± 487.85
Unknown-38,57.00 ± 29.07,43.89 ± 21.01,47.01 ± 18.22,520.00 ± 238.75
Unknown-39,10.76 ± 13.79,11.26 ± 14.24,10.94 ± 13.96,1860.00 ± 928.98
Unknown-40,67.41 ± 12.22,85.37 ± 4.24,74.87 ± 8.01,2740.00 ± 610.74
Unknown-41,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 460.43
Unknown-43,3.83 ± 5.64,3.63 ± 6.19,3.64 ± 5.81,1500.00 ± 827.65
Unknown-44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 109.54
Unknown-45,31.67 ± 4.16,33.53 ± 7.58,32.42 ± 5.69,2480.00 ± 1580.19
Unknown-46,16.67 ± 23.57,29.17 ± 47.87,13.39 ± 15.53,200.00 ± 270.80
Unknown-48,33.47 ± 15.93,26.31 ± 11.99,28.66 ± 11.43,4040.00 ± 2119.67
Unknown-49,18.95 ± 5.73,17.99 ± 3.85,18.09 ± 3.98,3280.00 ± 1327.40
Unknown-50,45.67 ± 11.62,51.58 ± 11.78,48.26 ± 11.03,7340.00 ± 4026.54
Unknown-51,16.67 ± 23.57,32.00 ± 46.04,20.91 ± 28.68,240.00 ± 167.33
Unknown-53,4.83 ± 8.67,10.00 ± 13.69,5.87 ± 9.65,460.00 ± 194.94
Unknown-55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-56,18.83 ± 16.72,18.07 ± 13.55,17.10 ± 12.94,1400.00 ± 608.28
Unknown-57,7.60 ± 12.54,9.62 ± 15.69,8.49 ± 13.94,2660.00 ± 1066.77
Unknown-58,31.62 ± 25.43,33.80 ± 23.72,31.21 ± 25.28,1320.00 ± 286.36
Unknown-59,17.48 ± 19.20,22.25 ± 23.18,19.50 ± 21.03,2020.00 ± 1116.69
Unknown-60,27.14 ± 26.92,19.67 ± 18.72,22.23 ± 21.22,440.00 ± 384.71
