epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.006825,0.828100,0.993506,4.446122,0.193353,32.479191,6.748161,6.748161,32.088837,3.084336,3.084336
2,0.081443,0.220590,0.354828,5.494656,0.286528,32.498238,7.857813,3.495399,32.175316,4.503893,2.716325
3,0.066013,0.005275,0.196538,5.930937,0.379453,32.232857,7.946998,0.539703,32.278484,5.672316,2.579519
4,0.106910,0.004211,0.211223,6.008550,0.471940,31.954782,7.992893,0.736520,32.345230,6.525515,2.203521
5,0.038827,0.006872,0.137890,5.898524,0.563712,31.739313,8.229096,1.487495,32.383709,7.162317,1.982190
6,-0.009604,0.005863,0.169051,5.647608,0.654572,31.526892,8.463502,1.188697,32.419842,7.682201,1.822644
7,0.003786,0.006812,0.150014,5.434216,0.744326,31.245726,8.452806,0.360765,32.455051,8.126921,1.829244
8,-0.001876,0.002433,0.130869,5.200127,0.832756,30.967138,8.447246,0.281038,32.500114,8.555361,1.798815
9,0.001437,0.004577,0.206373,4.943763,0.919690,30.694954,8.451485,0.276095,32.529900,8.934778,1.667412
10,0.001817,0.005226,0.205454,4.696826,1.004953,30.430605,8.456903,0.296786,32.556961,9.293196,1.644692
11,0.009404,0.008356,0.219116,4.486437,1.088395,30.176960,8.475689,0.376414,32.586216,9.630912,1.601736
12,-0.004832,0.011563,0.142263,4.277745,1.169835,29.921558,8.511863,0.411920,32.615749,9.945573,1.607028
13,-0.002881,0.006953,0.133594,4.118692,1.249100,29.690163,8.547523,0.310157,32.634781,10.243746,1.559707
14,-0.021286,0.006079,0.212507,3.966941,1.325961,29.459936,8.596596,0.517720,32.647655,10.496858,1.513204
15,-0.004614,0.005776,0.108525,3.864992,1.400256,29.236221,8.616017,0.619951,32.663387,10.743324,1.458394
16,0.000383,0.005401,0.140262,3.795853,1.471456,29.055923,8.755079,1.229759,32.667061,10.945604,1.356105
17,0.017536,0.017316,0.127184,3.740923,1.533558,28.882383,8.897899,0.857754,32.668026,11.130926,1.337244
18,-0.008651,0.003693,0.158000,3.701951,1.584676,28.682411,9.009504,0.809011,32.673439,11.318315,1.289319
19,-0.007064,0.004021,0.118922,3.676544,1.625627,28.497641,9.070822,0.343930,32.679138,11.490317,1.235221
20,-0.004448,0.048930,0.119839,3.676702,1.657599,28.306728,9.135409,0.442135,32.678421,11.647792,1.147062
21,-0.040677,0.008304,0.122087,3.697468,1.685451,28.141733,9.174077,0.444880,32.672409,11.786544,1.113858
22,-0.005847,0.003693,0.140778,3.684776,1.709430,27.984924,9.225167,0.278156,32.669785,11.916482,1.117130
23,0.015973,0.153075,0.149859,3.710217,1.728609,27.831972,9.280640,0.375586,32.659435,12.020055,1.018755
24,0.003082,0.001525,0.130679,3.728655,1.745462,27.689089,9.331390,0.217852,32.648773,12.121262,0.971857
25,-0.001818,0.002584,0.119328,3.740654,1.760695,27.585966,9.408864,1.036772,32.636562,12.208710,0.936689
26,-0.004154,0.001696,0.152339,3.757346,1.771955,27.466196,9.464535,0.497052,32.627193,12.291053,0.888002
27,-0.014868,0.001011,0.114810,3.809130,1.783150,27.349522,9.510231,0.143069,32.620071,12.372515,0.874826
28,0.001339,0.000943,0.138395,3.817259,1.792647,27.238958,9.550853,0.122548,32.609642,12.443540,0.830985
