arm	seed	cat	reg	wall	rc	rundir
ep25	0	61.3225	68.9741	386	0	mtlnet_lr1.0e-04_bs8192_ep25_20260702_022355_1702251
wd10	0	61.4720	69.2149	743	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_023020_1703458
lr5e4	0	59.6062	69.0893	1078	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_024244_1705836
shlr5e4	0	62.2815	69.3717	1250	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_024712_1706542
combo	0	58.2023	69.0768	619	0	mtlnet_lr1.0e-04_bs8192_ep25_20260702_030042_1707988
ep25	1	61.2041	69.3884	638	0	mtlnet_lr1.0e-04_bs8192_ep25_20260702_031101_1709569
shdrop30	0	62.1737	69.3603	1235	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_030802_1708924
wd10	1	61.5687	69.3354	1240	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_032139_1710740
shlr5e4	1	62.2451	69.5545	1247	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_032837_1711667
lr5e4	1	59.7753	69.4299	1255	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_034219_1713079
shdrop30	1	62.1412	69.5493	1265	0	mtlnet_lr1.0e-04_bs8192_ep50_20260702_034923_1713989
combo	1	58.1789	69.3624	566	0	mtlnet_lr1.0e-04_bs8192_ep25_20260702_040314_1715491
